floristum.ru 17.121.115.78 - - [10/Apr/2022:00:02:33 +0300] "GET /en/alleroy-d/flowers/buket-iz-tyulpanov-i-irisov-768 HTTP/1.1" 200 19095 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1060790 19999:9999
leninsk.floristum.ru 87.250.224.117 - - [10/Apr/2022:00:02:35 +0300] "GET /flowers/buket-3-711 HTTP/1.1" 200 140497 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 102051 56666:33333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:38 +0300] "GET /?_cn=alekseevka--bashkortostan HTTP/1.1" 200 329687 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 125798 73333:26666
floristum.ru 17.121.114.26 - - [10/Apr/2022:00:02:37 +0300] "GET /en/alekseevka--bashkortostan-d HTTP/1.1" 200 27725 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1238836 19999:13333
surgut.floristum.ru 87.250.224.76 - - [10/Apr/2022:00:02:42 +0300] "GET /catalog/all/khrizantema?page=5 HTTP/1.1" 200 392445 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 182512 96666:33333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:44 +0300] "GET /flowers/buket-iz-podsolnukhov-778?_cn=andryuki HTTP/1.1" 200 139112 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 85483 46666:23333
floristum.ru 17.121.114.164 - - [10/Apr/2022:00:02:44 +0300] "GET /en/andryuki-d/flowers/buket-iz-podsolnukhov-778 HTTP/1.1" 200 18942 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 896628 16666:13333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:47 +0300] "GET /flowers/buket-iz-11-belykh-roz-v-krafte-457?_cn=adyge-khabl HTTP/1.1" 200 139244 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 87075 56666:16666
armavir.floristum.ru 87.250.224.196 - - [10/Apr/2022:00:02:47 +0300] "GET /cart/104961 HTTP/1.1" 200 290730 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 93328 66666:16666
floristum.ru 17.121.114.205 - - [10/Apr/2022:00:02:47 +0300] "GET /en/adyge-khabl-d/flowers/buket-iz-11-belykh-roz-v-krafte-457 HTTP/1.1" 200 18897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 976548 19999:6666
rossosch.floristum.ru 5.45.207.99 - - [10/Apr/2022:00:02:48 +0300] "GET /flowers/buket-iz-25-oranzhevykh-roz-v-fetre-309 HTTP/1.1" 200 140812 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 90779 59999:13333
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:02:52 +0300] "GET /?_cn=ekaterinburg HTTP/1.1" 200 330326 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 139896 83333:16666
floristum.ru 17.121.115.234 - - [10/Apr/2022:00:02:52 +0300] "GET /en/ekaterinburg-d HTTP/1.1" 200 27806 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 1094551 23333:9999
verkhnyaya-salda.floristum.ru 5.45.207.99 - - [10/Apr/2022:00:02:59 +0300] "GET /catalog/avtorskie/vse-cvety?page=2 HTTP/1.1" 200 286385 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 141381 79999:29999
apatity.floristum.ru 17.121.113.146 - - [10/Apr/2022:00:03:12 +0300] "GET /flowers/korzina-s-tsvetami-3-485 HTTP/1.1" 200 140943 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 98787 66666:16666
shakhunya.floristum.ru 5.45.207.100 - - [10/Apr/2022:00:03:13 +0300] "GET /flowers/buket-iz-55-roz-2-484 HTTP/1.1" 200 141724 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 90780 56666:19999
askarovo.floristum.ru 213.180.203.91 - - [10/Apr/2022:00:03:14 +0300] "GET /flowers/buket-280-951 HTTP/1.1" 200 142739 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 95500 46666:36666
novosibirsk.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:03:18 +0300] "GET /flowers/843-buket-iz-51-krasnoi-rozy HTTP/1.1" 200 197842 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 114589 76666:16666
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:03:20 +0300] "GET /cart/2027938?_cn=anadyr HTTP/1.1" 404 95892 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 63137 43333:16666
floristum.ru 17.121.112.125 - - [10/Apr/2022:00:03:20 +0300] "GET /en/anadyr-d/cart/2027938 HTTP/1.1" 404 14784 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 648851 13333:13333
pochinok.floristum.ru 5.45.207.100 - - [10/Apr/2022:00:03:22 +0300] "GET /flowers/buket-272-842 HTTP/1.1" 200 142850 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 96024 49999:29999
belgorod.floristum.ru 5.45.207.100 - - [10/Apr/2022:00:03:25 +0300] "GET /api/v1/singleProduct/getProductByQty?product_id=237853&qty=1 HTTP/1.1" 200 1602 "https://belgorod.floristum.ru/cart/237853" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 84149 36666:43333
pochinok.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:03:28 +0300] "GET /assets/front/css/js/respond.min.js HTTP/1.1" 302 378 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 55251 43333:9999
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:03:33 +0300] "GET /languages HTTP/1.1" 200 127530 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 63699 39999:19999
floristum.ru 95.163.255.95 - - [10/Apr/2022:00:03:32 +0300] "GET /ca/languages HTTP/1.1" 200 16121 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 1039358 26666:3333
pochinok.floristum.ru 87.250.224.12 - - [10/Apr/2022:00:03:50 +0300] "GET /assets/front/css/js/html5shiv.min.js HTTP/1.1" 302 378 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 54159 39999:13333
novosibirsk.floristum.ru 141.8.142.72 - - [10/Apr/2022:00:03:56 +0300] "GET /cart/30336 HTTP/1.1" 200 152476 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 86877 46666:26666
izhevsk.floristum.ru 87.250.224.12 - - [10/Apr/2022:00:04:13 +0300] "GET /flowers/buket-333-308 HTTP/1.1" 200 141521 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 106038 63333:29999
agapovka.floristum.ru 92.118.160.37 - - [10/Apr/2022:00:04:17 +0300] "GET / HTTP/1.1" 200 333079 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com" 138255 83333:23333
mikhaylovsk.floristum.ru 5.255.253.118 - - [10/Apr/2022:00:04:19 +0300] "GET /api/v1/singleProduct/getProductByQty?product_id=3598614&qty=1 HTTP/1.1" 200 993 "https://mikhaylovsk.floristum.ru/cart/3598614" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 64793 33333:26666
floristum.ru 51.77.198.98 - - [10/Apr/2022:00:04:19 +0300] "GET /flowers/fruktovaya-korzina-udovolstvie-580?_cn=akhty HTTP/1.1" 200 141603 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 85407 43333:26666
floristum.ru 17.121.113.85 - - [10/Apr/2022:00:04:19 +0300] "GET /en/akhty-d/flowers/fruktovaya-korzina-udovolstvie-580 HTTP/1.1" 200 19405 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 947480 19999:9999
chelyabinsk.floristum.ru 17.121.113.41 - - [10/Apr/2022:00:04:26 +0300] "GET /catalog/all/gibiskus-kitayskaya-roza HTTP/1.1" 200 391410 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 199387 109999:36666
urussu.floristum.ru 87.250.224.12 - - [10/Apr/2022:00:04:28 +0300] "GET /cart/2982564 HTTP/1.1" 404 96289 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 91751 63333:23333
novosibirsk.floristum.ru 5.45.207.99 - - [10/Apr/2022:00:04:31 +0300] "GET /assets/front/css/js/respond.min.js HTTP/1.1" 302 390 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 54495 33333:19999
nizhniy-kuranakh.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:04:35 +0300] "GET /flowers/buket-367-827 HTTP/1.1" 200 142393 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 151951 86666:29999
novosibirsk.floristum.ru 17.121.114.205 - - [10/Apr/2022:00:04:35 +0300] "GET /info/privacy HTTP/1.1" 200 112378 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 69222 46666:16666
novosibirsk.floristum.ru 17.121.114.205 - - [10/Apr/2022:00:04:37 +0300] "GET /info/privacy HTTP/1.1" 200 110212 "https://novosibirsk.floristum.ru/info/privacy" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 68557 53333:13333
izhevsk.floristum.ru 40.77.191.238 - - [10/Apr/2022:00:04:38 +0300] "GET /api/v1/singleProduct/getProductByQty?product_id=30364&qty=1 HTTP/1.1" 200 1310 "https://izhevsk.floristum.ru/cart/30364" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b" 78493 46666:26666
krasnoarmeysk.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:04:40 +0300] "GET / HTTP/1.1" 200 335690 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 130119 73333:33333
lyskovo.floristum.ru 141.8.142.71 - - [10/Apr/2022:00:04:42 +0300] "GET /flowers/buket-288-319 HTTP/1.1" 200 141069 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268" 90616 49999:26666
novosibirsk.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:04:44 +0300] "GET /assets/front/css/js/html5shiv.min.js HTTP/1.1" 302 390 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 53945 36666:13333
urussu.floristum.ru 87.250.224.41 - - [10/Apr/2022:00:04:44 +0300] "GET /assets/front/css/js/respond.min.js HTTP/1.1" 302 370 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 53310 36666:13333
nizhniy-novgorod.floristum.ru 17.121.113.117 - - [10/Apr/2022:00:04:53 +0300] "GET /catalog/all/vse-cvety HTTP/1.1" 200 390856 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.1 Safari/605.1.15 (Applebot/0.1; +http://www.apple.com/go/applebot)" 175372 96666:29999
posevnaya.floristum.ru 5.255.253.118 - - [10/Apr/2022:00:04:53 +0300] "GET /cart/2213762 HTTP/1.1" 404 96507 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 67608 49999:13333
golitsyno.floristum.ru 5.45.207.133 - - [10/Apr/2022:00:05:00 +0300] "GET /flowers/korzina-iz-25-roz-135 HTTP/1.1" 200 140410 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 114942 59999:26666
baymak.floristum.ru 40.77.167.62 - - [10/Apr/2022:00:05:13 +0300] "GET /flowers/buket-7-167 HTTP/1.1" 200 140566 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 87642 43333:29999
urussu.floristum.ru 95.108.213.20 - - [10/Apr/2022:00:05:14 +0300] "GET /assets/front/css/js/html5shiv.min.js HTTP/1.1" 302 370 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" 48996 33333:13334
